age	len
2	28
2	32
9	75
9	73
7	72
9	73
10	83
9	73
1	16
3	44
3	41
4	50
6	70
5	54
6	62
5	58
4	52
8	58
6	59
5	57
8	73
6	61
8	67
5	58
8	66
6	58
2	27
5	62
8	67
6	60
7	60
2	25
2	31
3	41
6	65
4	50
7	72
5	56
8	70
2	25
2	27
2	24
2	28
2	30
2	25
3	37
2	26
3	40
2	21
2	27
2	23
2	28
2	29
4	47
3	44
4	49
2	26
3	44
2	25
2	24
4	47
5	63
1	16
1	16
4	45
5	52
5	50
8	62
7	63
2	26
2	26
5	57
1	14
1	12
1	15
1	15
1	16
1	13
1	16
2	25
2	28
3	44
8	69
2	29
3	43
6	49
4	42
8	59
4	45
13	84
8	70
8	65
1	13
1	14
1	15
1	15
2	29
3	45
2	32
4	52
7	70
2	32
2	27
3	47
4	48
2	29
3	40
4	48
3	44
6	64
4	54
4	47
4	46
4	51
8	70
4	49
9	68
4	55
4	54
13	78
1	15
3	44
5	52
4	53
4	55
4	50
2	30
5	51
5	55
1	14
1	14
2	27
2	25
2	28
2	29
2	31
2	28
2	29
2	29
2	31
3	43
1	13
1	15
2	30
2	27
2	29
2	26
2	25
2	26
2	25
2	29
2	30
2	28
2	24
2	28
2	24
2	29
2	29
2	27
3	49
5	54
12	85
1	14
1	13
1	15
8	74
7	64
4	56
2	27
8	71
5	55
5	68
2	30
2	27
2	26
2	31
2	30
4	54
5	54
7	59
4	49
8	73
2	29
2	31
3	45
2	31
8	72
5	52
4	48
8	72
1	15
1	15
1	13
5	61
5	56
4	53
8	67
4	53
3	43
7	71
7	64
5	47
5	53
8	73
5	58
2	28
4	48
2	29
1	13
1	13
2	31
2	29
2	25
2	27
2	33
2	28
3	40
2	30
4	51
6	61
3	43
1	13
1	14
2	28
2	28
2	25
2	29
2	27
2	27
2	26
9	67
2	30
4	53
2	28
6	68
2	28
2	29
2	29
2	27
6	54
1	13
2	29
2	30
5	64
4	51
5	66
2	29
8	79
6	60
5	60
11	67
6	59
5	65
7	66
7	70
6	64
5	62
4	54
5	54
4	52
7	71
5	60
9	66
5	56
4	47
5	57
4	46
6	56
4	51
9	76
8	64
5	55
2	26
2	27
3	43
2	27
2	30
4	51
4	54
2	25
2	28
3	44
3	41
2	28
3	39
2	29
2	33
2	27
4	47
5	47
4	51
5	57
6	66
1	11
1	13
1	14
1	12
4	51
4	52
7	62
3	42
4	51
4	51
3	41
5	57
5	58
5	64
4	52
6	61
4	48
9	65
5	54
5	46
5	56
5	62
5	57
5	52
5	55
2	27
2	27
2	28
2	27
2	29
2	29
4	52
5	59
5	57
5	61
5	60
5	59
4	51
6	61
5	53
4	55
8	63
6	58
5	60
5	59
3	43
5	56
4	53
7	64
5	57
2	29
2	31
2	30
5	64
1	13
2	29
2	27
2	29
4	51
4	50
5	61
5	57
3	46
4	50
13	66
5	60
3	44
3	42
9	67
5	61
5	58
3	45
4	55
4	47
5	57
5	61
4	54
5	57
4	53
5	59
6	62
7	53
8	63
5	56
5	57
4	48
7	52
5	57
3	49
5	60
4	51
4	51
4	53
4	55
5	51
6	62
5	63
6	66
8	65
6	73
4	49
4	49
6	63
1	13
4	49
4	52
8	64
4	51
6	70
4	47
8	66
9	65
6	66
3	42
3	44
5	59
6	55
6	72
5	57
5	58
5	57
5	64
8	63
5	57
4	55
4	51
4	51
4	55
5	65
5	62
1	18
2	27
1	15
1	16
2	24
2	23
2	26
5	55
4	41
2	22
2	24
2	25
2	27
2	29
2	32
4	54
5	65
9	74
1	13
2	28
2	29
5	53
1	17
1	15
3	41
5	61
4	54
5	55
4	53
5	60
2	27
5	61
4	52
5	61
2	29
2	34
2	33
2	29
2	31
3	43
4	48
5	46
5	57
3	47
4	57
4	45
5	51
9	74
9	60
2	27
2	29
7	66
6	57
1	14
2	27
2	28
2	33
2	30
2	28
4	55
2	28
2	25
2	29
2	25
2	29
4	49
5	48
7	63
1	13
1	14
1	14
1	13
1	14
1	14
2	26
2	31
2	28
2	28
2	27
2	30
2	29
2	31
2	29
5	55
5	54
1	14
2	27
2	26
5	56
3	37
2	23
2	31
2	28
4	48
5	49
5	47
5	57
3	44
2	30
2	30
3	43
1	17
1	14
2	32
2	28
2	33
3	44
3	40
1	16
2	27
2	29
2	29
2	25
2	29
3	40
2	31
2	27
3	43
3	39
2	28
2	23
3	43
4	46
5	52
6	53
1	14
2	31
2	30
4	54
3	37
2	30
2	27
2	26
2	28
4	49
1	14
1	13
1	13
1	14
1	13
2	29
2	28
7	61
2	26
2	30
2	26
5	47
9	78
8	63
7	57
9	75
9	74
9	79
8	69
9	71
12	76
1	14
1	15
1	16
1	14
1	13
1	14
1	14
1	15
1	15
2	31
2	24
2	28
2	29
2	26
2	28
2	28
2	31
2	33
2	30
2	32
2	28
2	29
2	33
2	28
3	39
5	68
2	30
2	29
2	27
2	28
2	27
13	67
5	57
8	71
2	28
2	25
2	28
2	29
3	41
2	28
2	26
2	30
5	54
2	26
5	59
3	43
3	44
5	59
6	66
8	68
2	28
2	29
5	50
2	29
3	48
2	28
3	38
2	33
2	30
3	46
4	49
3	42
3	44
3	43
4	52
9	71
3	41
4	59
3	45
3	46
4	47
2	25
2	26
2	26
1	18
2	27
