lenRel	lenRec	liberty
58.4	62.2	0.25
49.4	55	0.4
53.7	53.9	0.15
53.6	61	0.77
43.8	54.5	0.4
43.6	59.2	1.09
59.1	59.9	0.47
56.7	58.8	0.26
50.6	61.7	0.5
49.3	53.9	0.23
51.2	54.9	0.2
51.4	59.8	0.43
50.3	54.7	0.37
43.9	52.3	0.38
57.9	64.7	0.27
52.1	60	0.28
50	52.7	0.34
54.5	61.4	0.66
45.9	51.2	0.17
57.3	67.1	0.5
47.9	54.7	0.43
39.3	51.4	0.63
58.5	63.3	0.32
58.8	62.1	0.44
42.8	53.5	0.42
41.6	45.2	0.28
41.6	55.3	0.67
48.1	58.9	0.66
40.3	48.9	0.52
44.6	56.9	0.81
47.6	53.2	0.49
52.1	56.3	0.19
48.9	52.6	0.2
54.3	58.2	0.29
59.4	63	0.27
46.1	48.1	0.38
44	45.7	0.23
37	45.2	0.4
51.7	53.6	0.27
49.2	60.1	0.89
52.2	58.5	0.53
48.9	56.2	0.58
48.4	60.6	0.45
48.7	59.7	0.85
51.2	54.8	0.27
47.2	51.6	0.29
58.2	65.1	0.75
47.4	52.2	0.27
52.6	57.3	0.33
50.1	55.2	0.3
56.6	65	0.31
53.9	60.6	0.32
46.3	56.3	0.47
50.8	54.3	0.34
49.1	55.9	0.29
39.5	48.6	0.72
60	62	0.33
54.4	60	0.34
45.3	53	0.35
51.8	58.7	0.53
50.1	60.5	0.35
46.7	48.6	0.36
56.9	58.6	0.26
50.2	57.7	0.31
51.6	57.5	0.38
54.4	55.3	0.27
44.4	51.1	0.48
39.7	48.1	0.17
50.8	56.6	0.43
51	53	0.17
51.2	55	0.32
51.8	58.4	0.28
51.5	56.4	0.27
51.7	55.7	0.36
42	48.3	0.14
52.2	60.3	0.66
44.2	48.9	0.16
47.9	54.1	0.29
47.4	52.9	0.21
40.5	48.1	0.25
49	68.4	1.04
46.7	55.5	0.37
49.2	51.2	0.19
44	48.1	0.16
55.9	64.8	0.46
41.2	49.5	0.36
46.6	54.5	0.31
35.5	40.4	0.23
49.8	54.5	0.21
57.5	68.1	0.61
43.8	48.1	0.27
42	57.4	0.94
49.4	55.5	0.46
53.2	60.9	0.33
42.6	54.9	0.62
50.7	58.9	0.57
58.3	58.6	0.27
47.4	64.1	1.11
50.5	59.5	0.32
51.4	54.4	0.18
44.8	46.8	0.34
55.2	60.7	0.41
52.7	70.9	1.17
47.6	54.9	0.39
44	53.8	0.46
47.4	48.7	0.35
58	58.3	0.31
48	53.9	0.36
41.7	47.4	0.55
49.4	62.7	1.04
52.9	62.5	0.61
44.9	55	0.67
46.3	53.6	0.2
46	53.2	0.6
50.2	56.6	0.41
44.2	54	0.18
48.4	57	0.48
46.1	50.1	0.34
49.7	56.5	0.77
54	59	0.25
48	56.3	0.3
48.6	53.9	0.23
40.5	52.7	0.45
52.5	56.6	0.26
44.8	58.8	0.56
48.2	52.6	0.22
49.1	58.6	0.76
45.5	52.2	0.22
54.6	58.6	0.45
58	60.2	0.3
53.1	60.9	0.45
55.7	66.9	0.86
47.6	60.1	0.81
56.2	58.1	0.31
44.5	45.4	0.12
51.1	68.3	1.28
61.2	66	0.51
49.4	57.5	0.48
48.4	56.4	0.37
45.5	57.4	0.47
52.9	61.1	0.34
57.2	64.4	0.45
51.3	57.5	0.3
48.1	54.4	0.19
59.1	64.2	0.6
50.2	55.7	0.79
55.6	59.8	0.32
45.3	50	0.2
46.2	56.6	0.51
55.3	62.7	0.36
48.5	51.3	0.37
52.8	55.6	0.27
47.7	53.4	0.31
40.1	48.4	0.21
50	60.5	0.91
39.2	50.2	0.31
38	45.3	0.41
