lenRel	lenRec	liberty
58.4	62.3	0.25
49.4	55	0.4
53.7	53.9	0.15
53.5	60.9	0.77
43.8	54.5	0.4
43.7	59.1	1.09
59.1	59.5	0.47
56.7	58.8	0.26
50.6	61.8	0.5
49.3	53.9	0.23
51.2	54.9	0.2
51.4	59.9	0.43
50.3	54.6	0.37
44	52.3	0.38
57.7	64.8	0.27
52.1	60.1	0.28
50	52.7	0.34
54.4	61.1	0.66
46	51.2	0.17
57.3	67.4	0.5
47.9	54.7	0.43
39	51.3	0.63
58.6	63.4	0.32
58.9	62.1	0.44
43	53.5	0.42
41.6	45.3	0.28
41.4	55.3	0.67
48.1	59	0.66
40.3	48.9	0.52
44.7	56.9	0.81
47.7	53	0.49
52	56.3	0.19
48.9	52.6	0.2
54.3	58.3	0.29
59.5	63.2	0.27
46.1	48.1	0.38
43.7	45.7	0.23
37.3	45.3	0.4
51.7	53.5	0.27
49.2	60	0.89
52.1	58.3	0.53
48.9	56.1	0.58
48.4	60.7	0.45
48.7	59.5	0.85
51.1	54.9	0.27
47.2	51.6	0.29
58.2	65	0.75
47.4	52.2	0.27
52.6	57.3	0.33
50.1	55.2	0.3
56.5	65.2	0.31
53.9	60.7	0.32
46.3	56.3	0.47
50.8	54.3	0.34
49.1	55.9	0.29
39.3	48.6	0.72
60.1	61.9	0.33
54.3	60	0.34
45.3	53	0.35
51.8	58.6	0.53
50.1	60.6	0.35
46.5	48.6	0.36
56.9	58.5	0.26
50.2	57.7	0.31
51.5	57.5	0.38
54.4	55.2	0.27
44.4	51.1	0.48
40	48	0.17
50.8	56.6	0.43
51	53	0.17
51.2	55	0.32
51.7	58.4	0.28
51.5	56.4	0.27
51.7	55.7	0.36
42	48.1	0.14
52.2	60.2	0.66
44.3	48.9	0.16
47.9	54.1	0.29
47.5	52.9	0.21
40.5	47.9	0.25
49	68.8	1.04
46.7	55.5	0.37
49.1	51.2	0.19
44.1	48.1	0.16
55.9	65	0.46
41.3	49.5	0.36
46.7	54.5	0.31
35.5	40.4	0.23
49.7	54.4	0.21
57.5	68.5	0.61
43.9	48.1	0.27
42.1	57.4	0.94
49.4	55.4	0.46
53.1	61	0.33
42.7	54.9	0.62
50.6	59	0.57
58.3	58.5	0.27
47.4	64.2	1.11
50.5	59.5	0.32
51.5	54.4	0.18
44.7	46.9	0.34
55.2	60.7	0.41
52.7	71.2	1.17
47.6	54.9	0.39
44.1	53.8	0.46
47.4	48.6	0.35
58	58.3	0.31
48	53.9	0.36
41.4	47.4	0.55
49.4	62.7	1.04
52.9	62.5	0.61
44.9	55	0.67
46.3	53.6	0.2
45.8	53.2	0.6
50.2	56.6	0.41
44.3	54	0.18
48.4	57	0.48
46.1	50.1	0.34
49.5	56.4	0.77
54	59.1	0.25
48	56.3	0.3
48.6	53.9	0.23
40.7	52.7	0.45
52.5	56.5	0.26
44.9	58.9	0.56
48.2	52.6	0.22
49.1	58.5	0.76
45.5	52.2	0.22
54.6	58.6	0.45
58	60.2	0.3
53.1	60.9	0.45
55.7	66.9	0.86
47.7	60.1	0.81
56.3	58.1	0.31
44.6	45.4	0.12
51.1	68.5	1.28
61.3	66	0.51
49.4	57.6	0.48
48.4	56.5	0.37
45.6	57.4	0.47
52.9	61.2	0.34
57.1	64.4	0.45
51.3	57.6	0.3
48.1	54.4	0.19
59.1	64	0.6
50	55.6	0.79
55.6	59.8	0.32
45.4	50	0.2
46.1	56.7	0.51
55.3	62.8	0.36
48.5	51.3	0.37
52.8	55.6	0.27
47.7	53.4	0.31
40.2	48.2	0.21
49.9	60.5	0.91
39.4	50.1	0.31
38.2	45.3	0.41
39.8	46.2	0.42
54.1	55.7	0.22
53.6	54.2	0.09
48.4	51.2	0.27
50.4	55.4	0.49
51.7	55.7	0.36
55.2	59.9	0.35
41.9	51.3	0.49
57.5	57.5	0.2
48.1	61.6	0.64
48.6	54.6	0.37
53.9	63.4	0.52
53.4	58.6	0.62
50.2	52.5	0.24
53.4	65.7	0.66
49.9	55.1	0.14
47.8	51.7	0.28
60.9	64.5	0.32
52.3	55.6	0.34
50.4	58.6	0.61
52.7	60.9	0.39
53.7	56.2	0.45
47.8	51.9	0.36
51.1	53.2	0.33
60.4	66.4	0.52
45.2	56.2	0.65
47.6	50.5	0.11
55.8	62	0.49
51.6	58.2	0.44
46.2	51.5	0.3
41	55	0.59
53	60.7	0.3
49.2	57.1	0.32
51.3	61.6	0.56
48.7	63.6	0.87
40.6	46.8	0.42
52.5	54.8	0.3
58	65	0.2
39.7	46.6	0.31
43.1	49.9	0.23
42.8	48.6	0.32
51.7	56.9	0.45
48.6	67.9	1.38
47.4	56.6	0.4
45.1	54.7	0.65
50.8	54.6	0.12
54.2	61.8	0.53
60.2	62.4	0.19
58.3	65.2	0.58
45.3	52.5	0.45
47.7	54.7	0.3
