lenRel	lenRec	liberty
51.4	52.2	0.25
44.1	51	0.4
48.7	50	0.15
57.7	65.6	0.77
44.6	55.6	0.4
35.2	55.5	1.09
57	62.1	0.47
48.8	46.9	0.26
48.5	57	0.5
43.7	49.6	0.23
50.6	52.2	0.2
53.6	58.9	0.43
47	54.4	0.29
47.2	52.9	0.37
53.6	62	0.38
52.5	54	0.27
50.4	53.3	0.28
46.4	51.9	0.34
56.3	60.6	0.66
43.8	44.4	0.17
56.8	60.7	0.5
53.2	60.3	0.43
44	56.3	0.63
56.3	59.5	0.32
56.5	61.4	0.44
51.6	58.2	0.42
57	62.8	0.28
36.3	52.9	0.67
43.4	55	0.66
39.8	52.7	0.52
49.6	62.9	0.81
57.6	66.3	0.49
59.2	60.5	0.19
51.1	54.8	0.28
54	56.3	0.2
49.7	54.2	0.29
55	55.8	0.27
50.3	57	0.38
43.6	51	0.23
45.6	53.4	0.4
50.2	50.4	0.27
56.4	70.6	0.89
45.7	53.8	0.53
37.8	50.2	0.58
54.3	59.3	0.45
46.1	58.9	0.85
47.8	48.7	0.27
53.3	59	0.29
48	58.4	0.75
47.6	51.1	0.27
58.1	60.4	0.33
52.8	59.1	0.3
55.5	57.9	0.31
50.4	53.9	0.32
43.4	52.4	0.47
41.8	45.8	0.34
48.7	55.2	0.29
55.8	64.2	0.72
53.8	54.4	0.33
52.5	56.9	0.34
50.4	58.6	0.35
48.6	53.3	0.53
42.8	49.6	0.35
60.1	66.6	0.36
50.1	52	0.26
48.1	52.4	0.31
40.3	45.6	0.38
49.4	53.3	0.27
47.2	58	0.48
47	49.1	0.17
40	46.2	0.43
59.2	63.1	0.17
58.3	60.1	0.32
54.5	53.1	0.28
44.7	48.8	0.27
54.3	59	0.36
46.6	51	0.14
49.4	56.8	0.66
55.1	59.1	0.16
42.7	48.2	0.29
47.2	52.3	0.21
43.7	50.9	0.25
49.9	65.4	1.04
40.7	48.5	0.37
45.2	50.2	0.19
52.6	57	0.16
54.2	55.1	0.46
42.9	51.8	0.36
52.4	55	0.31
32.2	41	0.23
47.2	53.2	0.17
52.6	55.8	0.21
49	54.7	0.61
48.3	53.8	0.27
40	47.1	0.18
51.8	66	0.94
40	48.2	0.46
50.1	52.6	0.33
46.8	57.1	0.62
49.6	58.4	0.57
47.8	47.7	0.27
57.3	72.8	1.11
43.3	47.5	0.32
51.9	50.8	0.18
30.2	39.2	0.34
51.9	55.7	0.41
53.7	64.1	1.17
43.5	54	0.39
52	58	0.46
51	54.6	0.35
56	59.7	0.31
44.7	53.2	0.36
42	53.4	0.55
40	57.5	1.04
49.6	55.8	0.61
41	55.5	0.67
53	56.7	0.2
48.4	59.2	0.6
60.1	66.1	0.41
43.6	48.5	0.18
55.5	60.6	0.48
46.3	53.5	0.34
41	53.1	0.77
54.2	60	0.25
42.4	48.2	0.3
44.1	48.4	0.23
41.3	50.9	0.34
49	57.2	0.45
45.9	47.4	0.26
54.5	62.5	0.56
41.8	48	0.2
50.4	53.5	0.22
50.1	59.9	0.76
43.6	45.7	0.22
48.6	55.8	0.45
48.9	52.1	0.3
56.2	60.3	0.45
59.3	66.4	0.86
44	57.7	0.81
55.8	56.5	0.31
48.1	49.2	0.12
38.7	57.2	1.28
49.4	53.7	0.51
52.2	60.4	0.48
50.2	57.3	0.37
34.9	44.1	0.47
54	60	0.34
56.5	57.6	0.45
49.1	52.4	0.3
45.9	48.3	0.19
62.4	66.4	0.6
48.3	57.9	0.79
51.7	56.6	0.32
43.4	49.3	0.2
41.2	52.9	0.51
43.5	48	0.36
45.1	52.2	0.15
55.9	62	0.37
58.1	63.1	0.27
56.6	61.6	0.31
53.5	59.4	0.21
47.8	58.2	0.91
41.1	48	0.31
51.3	52.6	0.16
33.3	44	0.41
45.1	53	0.42
58.8	59	0.22
52.1	51.1	0.09
54.9	62.3	0.27
52.1	59	0.49
47.1	50.8	0.36
60.3	59	0.35
47.1	53.8	0.49
46.8	50.3	0.2
50.7	58.1	0.64
41.2	50.7	0.37
56.2	60.6	0.52
53.9	57.1	0.62
50.2	58.1	0.41
47	49.6	0.24
55.7	62.2	0.66
44.8	46.9	0.14
44	49.4	0.28
54.9	54.3	0.32
47.9	50.7	0.34
54.3	64.8	0.61
49.8	53.9	0.39
56.3	62.9	0.45
51.3	60.3	0.36
37	42.2	0.33
46.7	50.5	0.52
55.9	60.9	0.65
52.9	58	0.11
46	51.7	0.49
43.3	49.8	0.44
54.1	56.8	0.3
44.1	56.3	0.59
59.7	64.8	0.3
58.4	62.6	0.32
42.8	51.1	0.56
45.1	56.1	0.87
40.8	52.8	0.42
53.3	58.6	0.3
46.7	46.6	0.2
36.3	46.2	0.31
57.6	64.3	0.23
52.7	58.5	0.32
53.3	58	0.45
48.7	52	0.24
49.7	68.9	1.38
52.6	57.8	0.4
41.2	58.8	0.65
49.5	47.2	0.12
52.5	58.5	0.53
61.5	62.2	0.19
55.2	63.5	0.58
54.6	63.5	0.45
49.9	55.5	0.3
45	56.8	0.71
48.3	53.3	0.26
41.2	45.8	0.28
52.3	56.2	0.22
56	62.1	0.26
48.2	57.8	0.59
43.4	51.9	0.46
54	63.5	0.61
50	55.3	0.3
48	51.8	0.44
56.3	60.2	0.42
45.3	50	0.18
54.1	68.5	0.9
48.1	50.1	0.39
53.5	58.5	0.54
55.4	58.1	0.59
45.4	50.6	0.36
50.4	56.6	0.32
52.6	59.2	0.58
55.2	55.5	0.22
46.4	60.9	0.99
50.5	55.8	0.3
56.6	66.2	0.84
50.7	63.1	0.78
51.4	60.3	0.38
50	53.7	0.49
47.8	48.8	0.22
53.2	52.4	0.43
43.7	53.2	0.62
34.5	41.5	0.39
55.8	60.9	0.29
46	49.3	0.27
42	45.6	0.36
55.4	62.7	0.63
51.7	54.7	0.29
46.9	50.9	0.35
49.9	51.1	0.19
49.7	53.1	0.47
60.6	61.3	0.71
53.4	62.8	0.78
39.5	50.2	0.55
52.4	51.4	0.14
52.9	60.7	0.47
54.2	58.5	0.46
